id,name,domain_type,tld_managers
domain_name_aaa,"aaa","generic","American Automobile Association, Inc."
domain_name_aarp,"aarp","generic","AARP"
domain_name_abarth,"abarth","generic","Fiat Chrysler Automobiles N.V."
domain_name_abb,"abb","generic","ABB Ltd"
domain_name_abbott,"abbott","generic","Abbott Laboratories, Inc."
domain_name_abbvie,"abbvie","generic","AbbVie Inc."
domain_name_abc,"abc","generic","Disney Enterprises, Inc."
domain_name_able,"able","generic","Able Inc."
domain_name_abogado,"abogado","generic","Registry Services, LLC"
domain_name_abudhabi,"abudhabi","generic","Abu Dhabi Systems and Information Centre"
domain_name_ac,"ac","country-code","Internet Computer Bureau Limited"
domain_name_academy,"academy","generic","Binky Moon, LLC"
domain_name_accenture,"accenture","generic","Accenture plc"
domain_name_accountant,"accountant","generic","dot Accountant Limited"
domain_name_accountants,"accountants","generic","Binky Moon, LLC"
domain_name_aco,"aco","generic","ACO Severin Ahlmann GmbH & Co. KG"
domain_name_active,"active","generic","Not assigned"
domain_name_actor,"actor","generic","Dog Beach, LLC"
domain_name_ad,"ad","country-code","Andorra Telecom"
domain_name_adac,"adac","generic","Not assigned"
domain_name_ads,"ads","generic","Charleston Road Registry Inc."
domain_name_adult,"adult","generic","ICM Registry AD LLC"
domain_name_ae,"ae","country-code","Telecommunications and Digital Government Regulatory Authority (TDRA)"
domain_name_aeg,"aeg","generic","Aktiebolaget Electrolux"
domain_name_aero,"aero","sponsored","Societe Internationale de Telecommunications Aeronautique (SITA INC USA)"
domain_name_aetna,"aetna","generic","Aetna Life Insurance Company"
domain_name_af,"af","country-code","Ministry of Communications and IT"
domain_name_afamilycompany,"afamilycompany","generic","Not assigned"
domain_name_afl,"afl","generic","Australian Football League"
domain_name_africa,"africa","generic","ZA Central Registry NPC trading as Registry.Africa"
domain_name_ag,"ag","country-code","UHSA School of Medicine"
domain_name_agakhan,"agakhan","generic","Fondation Aga Khan (Aga Khan Foundation)"
domain_name_agency,"agency","generic","Binky Moon, LLC"
domain_name_ai,"ai","country-code","Government of Anguilla"
domain_name_aig,"aig","generic","American International Group, Inc."
domain_name_aigo,"aigo","generic","Not assigned"
domain_name_airbus,"airbus","generic","Airbus S.A.S."
domain_name_airforce,"airforce","generic","Dog Beach, LLC"
domain_name_airtel,"airtel","generic","Bharti Airtel Limited"
domain_name_akdn,"akdn","generic","Fondation Aga Khan (Aga Khan Foundation)"
domain_name_al,"al","country-code","Electronic and Postal Communications Authority - AKEP"
domain_name_alfaromeo,"alfaromeo","generic","Fiat Chrysler Automobiles N.V."
domain_name_alibaba,"alibaba","generic","Alibaba Group Holding Limited"
domain_name_alipay,"alipay","generic","Alibaba Group Holding Limited"
domain_name_allfinanz,"allfinanz","generic","Allfinanz Deutsche Vermögensberatung Aktiengesellschaft"
domain_name_allstate,"allstate","generic","Allstate Fire and Casualty Insurance Company"
domain_name_ally,"ally","generic","Ally Financial Inc."
domain_name_alsace,"alsace","generic","REGION GRAND EST"
domain_name_alstom,"alstom","generic","ALSTOM"
domain_name_am,"am","country-code",""Internet Society" Non-governmental Organization"
domain_name_amazon,"amazon","generic","Amazon Registry Services, Inc."
domain_name_americanexpress,"americanexpress","generic","American Express Travel Related Services Company, Inc."
domain_name_americanfamily,"americanfamily","generic","AmFam, Inc."
domain_name_amex,"amex","generic","American Express Travel Related Services Company, Inc."
domain_name_amfam,"amfam","generic","AmFam, Inc."
domain_name_amica,"amica","generic","Amica Mutual Insurance Company"
domain_name_amsterdam,"amsterdam","generic","Gemeente Amsterdam"
domain_name_an,"an","country-code","Not assigned"
domain_name_analytics,"analytics","generic","Campus IP LLC"
domain_name_android,"android","generic","Charleston Road Registry Inc."
domain_name_anquan,"anquan","generic","QIHOO 360 TECHNOLOGY CO. LTD."
domain_name_anz,"anz","generic","Australia and New Zealand Banking Group Limited"
domain_name_ao,"ao","country-code","Ministry of Telecommunications and Information Technologies (MTTI)"
domain_name_aol,"aol","generic","OATH Inc."
domain_name_apartments,"apartments","generic","Binky Moon, LLC"
domain_name_app,"app","generic","Charleston Road Registry Inc."
domain_name_apple,"apple","generic","Apple Inc."
domain_name_aq,"aq","country-code","Antarctica Network Information Centre Limited"
domain_name_aquarelle,"aquarelle","generic","Aquarelle.com"
domain_name_ar,"ar","country-code","Presidencia de la Nación – Secretaría Legal y Técnica"
domain_name_arab,"arab","generic","League of Arab States"
domain_name_aramco,"aramco","generic","Aramco Services Company"
domain_name_archi,"archi","generic","Afilias Limited"
domain_name_army,"army","generic","Dog Beach, LLC"
domain_name_arpa,"arpa","infrastructure","Internet Architecture Board (IAB)"
domain_name_art,"art","generic","UK Creative Ideas Limited"
domain_name_arte,"arte","generic","Association Relative à la Télévision Européenne G.E.I.E."
domain_name_as,"as","country-code","AS Domain Registry"
domain_name_asda,"asda","generic","Wal-Mart Stores, Inc."
domain_name_asia,"asia","sponsored","DotAsia Organisation Ltd."
domain_name_associates,"associates","generic","Binky Moon, LLC"
domain_name_at,"at","country-code","nic.at GmbH"
domain_name_athleta,"athleta","generic","The Gap, Inc."
domain_name_attorney,"attorney","generic","Dog Beach, LLC"
domain_name_au,"au","country-code",".au Domain Administration (auDA)"
domain_name_auction,"auction","generic","Dog Beach, LLC"
domain_name_audi,"audi","generic","AUDI Aktiengesellschaft"
domain_name_audible,"audible","generic","Amazon Registry Services, Inc."
domain_name_audio,"audio","generic","XYZ.COM LLC"
domain_name_auspost,"auspost","generic","Australian Postal Corporation"
domain_name_author,"author","generic","Amazon Registry Services, Inc."
domain_name_auto,"auto","generic","XYZ.COM LLC"
domain_name_autos,"autos","generic","XYZ.COM LLC"
domain_name_avianca,"avianca","generic","Avianca Holdings S.A."
domain_name_aw,"aw","country-code","SETAR"
domain_name_aws,"aws","generic","AWS Registry LLC"
domain_name_ax,"ax","country-code","Ålands landskapsregering"
domain_name_axa,"axa","generic","AXA Group Operations SAS"
domain_name_az,"az","country-code","IntraNS"
domain_name_azure,"azure","generic","Microsoft Corporation"
domain_name_ba,"ba","country-code","Universtiy Telinformatic Centre (UTIC)"
domain_name_baby,"baby","generic","XYZ.COM LLC"
domain_name_baidu,"baidu","generic","Baidu, Inc."
domain_name_banamex,"banamex","generic","Citigroup Inc."
domain_name_bananarepublic,"bananarepublic","generic","The Gap, Inc."
domain_name_band,"band","generic","Dog Beach, LLC"
domain_name_bank,"bank","generic","fTLD Registry Services, LLC"
domain_name_bar,"bar","generic","Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable"
domain_name_barcelona,"barcelona","generic","Municipi de Barcelona"
domain_name_barclaycard,"barclaycard","generic","Barclays Bank PLC"
domain_name_barclays,"barclays","generic","Barclays Bank PLC"
domain_name_barefoot,"barefoot","generic","Gallo Vineyards, Inc."
domain_name_bargains,"bargains","generic","Binky Moon, LLC"
domain_name_baseball,"baseball","generic","MLB Advanced Media DH, LLC"
domain_name_basketball,"basketball","generic","Fédération Internationale de Basketball (FIBA)"
domain_name_bauhaus,"bauhaus","generic","Werkhaus GmbH"
domain_name_bayern,"bayern","generic","Bayern Connect GmbH"
domain_name_bb,"bb","country-code","Ministry of Innovation, Science and Smart Technology"
domain_name_bbc,"bbc","generic","British Broadcasting Corporation"
domain_name_bbt,"bbt","generic","BB&T Corporation"
domain_name_bbva,"bbva","generic","BANCO BILBAO VIZCAYA ARGENTARIA, S.A."
domain_name_bcg,"bcg","generic","The Boston Consulting Group, Inc."
domain_name_bcn,"bcn","generic","Municipi de Barcelona"
domain_name_bd,"bd","country-code","Posts and Telecommunications Division"
domain_name_be,"be","country-code","DNS Belgium vzw/asbl"
domain_name_beats,"beats","generic","Beats Electronics, LLC"
domain_name_beauty,"beauty","generic","XYZ.COM LLC"
domain_name_beer,"beer","generic","Registry Services, LLC"
domain_name_bentley,"bentley","generic","Bentley Motors Limited"
domain_name_berlin,"berlin","generic","dotBERLIN GmbH & Co. KG"
domain_name_best,"best","generic","BestTLD Pty Ltd"
domain_name_bestbuy,"bestbuy","generic","BBY Solutions, Inc."
domain_name_bet,"bet","generic","Afilias Limited"
domain_name_bf,"bf","country-code","ARCE-AutoritÈ de RÈgulation des Communications Electroniques"
domain_name_bg,"bg","country-code","Register.BG"
domain_name_bh,"bh","country-code","Telecommunications Regulatory Authority (TRA)"
domain_name_bharti,"bharti","generic","Bharti Enterprises (Holding) Private Limited"
domain_name_bi,"bi","country-code","Centre National de l'Informatique"
domain_name_bible,"bible","generic","American Bible Society"
domain_name_bid,"bid","generic","dot Bid Limited"
domain_name_bike,"bike","generic","Binky Moon, LLC"
domain_name_bing,"bing","generic","Microsoft Corporation"
domain_name_bingo,"bingo","generic","Binky Moon, LLC"
domain_name_bio,"bio","generic","Afilias Limited"
domain_name_biz,"biz","generic-restricted","Registry Services, LLC"
domain_name_bj,"bj","country-code","Autorité de Régulation des Communications Electroniques et de la Poste duBénin (ARCEP BENIN)"
domain_name_bl,"bl","country-code","Not assigned"
domain_name_black,"black","generic","Afilias Limited"
domain_name_blackfriday,"blackfriday","generic","Registry Services, LLC"
domain_name_blanco,"blanco","generic","Not assigned"
domain_name_blockbuster,"blockbuster","generic","Dish DBS Corporation"
domain_name_blog,"blog","generic","Knock Knock WHOIS There, LLC"
domain_name_bloomberg,"bloomberg","generic","Bloomberg IP Holdings LLC"
domain_name_blue,"blue","generic","Afilias Limited"
domain_name_bm,"bm","country-code","Registry General Department, Ministry of Home Affairs"
domain_name_bms,"bms","generic","Bristol-Myers Squibb Company"
domain_name_bmw,"bmw","generic","Bayerische Motoren Werke Aktiengesellschaft"
domain_name_bn,"bn","country-code","Authority for Info-communications Technology Industry of Brunei Darussalam(AITI)"
domain_name_bnl,"bnl","generic","Not assigned"
domain_name_bnpparibas,"bnpparibas","generic","BNP Paribas"
domain_name_bo,"bo","country-code","Agencia para el Desarrollo de la Información de la Sociedad en Bolivia"
domain_name_boats,"boats","generic","XYZ.COM LLC"
domain_name_boehringer,"boehringer","generic","Boehringer Ingelheim International GmbH"
domain_name_bofa,"bofa","generic","Bank of America Corporation"
domain_name_bom,"bom","generic","Núcleo de Informação e Coordenação do Ponto BR - NIC.br"
domain_name_bond,"bond","generic","Shortdot SA"
domain_name_boo,"boo","generic","Charleston Road Registry Inc."
domain_name_book,"book","generic","Amazon Registry Services, Inc."
domain_name_booking,"booking","generic","Booking.com B.V."
domain_name_boots,"boots","generic","Not assigned"
domain_name_bosch,"bosch","generic","Robert Bosch GMBH"
domain_name_bostik,"bostik","generic","Bostik SA"
domain_name_boston,"boston","generic","Registry Services, LLC"
domain_name_bot,"bot","generic","Amazon Registry Services, Inc."
domain_name_boutique,"boutique","generic","Binky Moon, LLC"
domain_name_box,"box","generic","Intercap Registry Inc."
domain_name_bq,"bq","country-code","Not assigned"
domain_name_br,"br","country-code","Comite Gestor da Internet no Brasil"
domain_name_bradesco,"bradesco","generic","Banco Bradesco S.A."
domain_name_bridgestone,"bridgestone","generic","Bridgestone Corporation"
domain_name_broadway,"broadway","generic","Celebrate Broadway, Inc."
domain_name_broker,"broker","generic","Dog Beach, LLC"
domain_name_brother,"brother","generic","Brother Industries, Ltd."
domain_name_brussels,"brussels","generic","DNS.be vzw"
domain_name_bs,"bs","country-code","University of The Bahamas"
domain_name_bt,"bt","country-code","Ministry of Information and Communications"
domain_name_budapest,"budapest","generic","Not assigned"
domain_name_bugatti,"bugatti","generic","Not assigned"
domain_name_build,"build","generic","Plan Bee LLC"
domain_name_builders,"builders","generic","Binky Moon, LLC"
domain_name_business,"business","generic","Binky Moon, LLC"
domain_name_buy,"buy","generic","Amazon Registry Services, INC"
domain_name_buzz,"buzz","generic","DOTSTRATEGY CO."
domain_name_bv,"bv","country-code","Norid A/S"
domain_name_bw,"bw","country-code","Botswana Communications Regulatory Authority (BOCRA)"
domain_name_by,"by","country-code","Belarusian Cloud Technologies LLC"
domain_name_bz,"bz","country-code","University of Belize"
domain_name_bzh,"bzh","generic","Association www.bzh"
domain_name_ca,"ca","country-code","Canadian Internet Registration Authority (CIRA) Autorité Canadienne pour lesenregistrements Internet (ACEI)"
domain_name_cab,"cab","generic","Binky Moon, LLC"
domain_name_cafe,"cafe","generic","Binky Moon, LLC"
domain_name_cal,"cal","generic","Charleston Road Registry Inc."
domain_name_call,"call","generic","Amazon Registry Services, Inc."
domain_name_calvinklein,"calvinklein","generic","PVH gTLD Holdings LLC"
domain_name_cam,"cam","generic","CAM Connecting SARL"
domain_name_camera,"camera","generic","Binky Moon, LLC"
domain_name_camp,"camp","generic","Binky Moon, LLC"
domain_name_cancerresearch,"cancerresearch","generic","Not assigned"
domain_name_canon,"canon","generic","Canon Inc."
domain_name_capetown,"capetown","generic","ZA Central Registry NPC trading as ZA Central Registry"
domain_name_capital,"capital","generic","Binky Moon, LLC"
domain_name_capitalone,"capitalone","generic","Capital One Financial Corporation"
domain_name_car,"car","generic","XYZ.COM LLC"
domain_name_caravan,"caravan","generic","Caravan International, Inc."
domain_name_cards,"cards","generic","Binky Moon, LLC"
domain_name_care,"care","generic","Binky Moon, LLC"
domain_name_career,"career","generic","dotCareer LLC"
domain_name_careers,"careers","generic","Binky Moon, LLC"
domain_name_cars,"cars","generic","XYZ.COM LLC"
domain_name_cartier,"cartier","generic","Not assigned"
domain_name_casa,"casa","generic","Registry Services, LLC"
domain_name_case,"case","generic","CNH Industrial N.V."
domain_name_caseih,"caseih","generic","Not assigned"
domain_name_cash,"cash","generic","Binky Moon, LLC"
domain_name_casino,"casino","generic","Binky Moon, LLC"
domain_name_cat,"cat","sponsored","Fundacio puntCAT"
domain_name_catering,"catering","generic","Binky Moon, LLC"
domain_name_catholic,"catholic","generic","Pontificium Consilium de Comunicationibus Socialibus (PCCS) (PontificalCouncil for Social Communication)"
domain_name_cba,"cba","generic","COMMONWEALTH BANK OF AUSTRALIA"
domain_name_cbn,"cbn","generic","The Christian Broadcasting Network, Inc."
domain_name_cbre,"cbre","generic","CBRE, Inc."
domain_name_cbs,"cbs","generic","CBS Domains Inc."
domain_name_cc,"cc","country-code","eNIC Cocos (Keeling) Islands Pty. Ltd. d/b/a Island Internet Services"
domain_name_cd,"cd","country-code","Office Congolais des Postes et Télécommunications - OCPT"
domain_name_ceb,"ceb","generic","Not assigned"
domain_name_center,"center","generic","Binky Moon, LLC"
domain_name_ceo,"ceo","generic","CEOTLD Pty Ltd"
domain_name_cern,"cern","generic","European Organization for Nuclear Research ("CERN")"
domain_name_cf,"cf","country-code","Societe Centrafricaine de Telecommunications (SOCATEL)"
domain_name_cfa,"cfa","generic","CFA Institute"
domain_name_cfd,"cfd","generic","DOTCFD REGISTRY LTD"
domain_name_cg,"cg","country-code","Interpoint Switzerland"
domain_name_ch,"ch","country-code","SWITCH The Swiss Education & Research Network"
domain_name_chanel,"chanel","generic","Chanel International B.V."
domain_name_channel,"channel","generic","Charleston Road Registry Inc."
domain_name_charity,"charity","generic","Public Interest Registry (PIR)"
domain_name_chase,"chase","generic","JPMorgan Chase Bank, National Association"
domain_name_chat,"chat","generic","Binky Moon, LLC"
domain_name_cheap,"cheap","generic","Binky Moon, LLC"
domain_name_chintai,"chintai","generic","CHINTAI Corporation"
domain_name_chloe,"chloe","generic","Not assigned"
domain_name_christmas,"christmas","generic","XYZ.COM LLC"
domain_name_chrome,"chrome","generic","Charleston Road Registry Inc."
domain_name_chrysler,"chrysler","generic","Not assigned"
domain_name_church,"church","generic","Binky Moon, LLC"
domain_name_ci,"ci","country-code","Autorité de Régulation des Télécommunications/TIC de Côte d’lvoire (ARTCI)"
domain_name_cipriani,"cipriani","generic","Hotel Cipriani Srl"
domain_name_circle,"circle","generic","Amazon Registry Services, Inc."
domain_name_cisco,"cisco","generic","Cisco Technology, Inc."
domain_name_citadel,"citadel","generic","Citadel Domain LLC"
domain_name_citi,"citi","generic","Citigroup Inc."
domain_name_citic,"citic","generic","CITIC Group Corporation"
domain_name_city,"city","generic","Binky Moon, LLC"
domain_name_cityeats,"cityeats","generic","Lifestyle Domain Holdings, Inc."
domain_name_ck,"ck","country-code","Telecom Cook Islands Ltd."
domain_name_cl,"cl","country-code","NIC Chile (University of Chile)"
domain_name_claims,"claims","generic","Binky Moon, LLC"
domain_name_cleaning,"cleaning","generic","Binky Moon, LLC"
domain_name_click,"click","generic","Internet Naming Co."
domain_name_clinic,"clinic","generic","Binky Moon, LLC"
domain_name_clinique,"clinique","generic","The Estée Lauder Companies Inc."
domain_name_clothing,"clothing","generic","Binky Moon, LLC"
domain_name_cloud,"cloud","generic","ARUBA PEC S.p.A."
domain_name_club,"club","generic","Registry Services, LLC"
domain_name_clubmed,"clubmed","generic","Club Méditerranée S.A."
domain_name_cm,"cm","country-code","Cameroon Telecommunications (CAMTEL)"
domain_name_cn,"cn","country-code","China Internet Network Information Center (CNNIC)"
domain_name_co,"co","country-code","Ministry of Information and Communications Technologies (MinTIC)"
domain_name_coach,"coach","generic","Binky Moon, LLC"
domain_name_codes,"codes","generic","Binky Moon, LLC"
domain_name_coffee,"coffee","generic","Binky Moon, LLC"
domain_name_college,"college","generic","XYZ.COM LLC"
domain_name_cologne,"cologne","generic","dotKoeln GmbH"
domain_name_com,"com","generic","VeriSign Global Registry Services"
domain_name_comcast,"comcast","generic","Comcast IP Holdings I, LLC"
domain_name_commbank,"commbank","generic","COMMONWEALTH BANK OF AUSTRALIA"
domain_name_community,"community","generic","Binky Moon, LLC"
domain_name_company,"company","generic","Binky Moon, LLC"
domain_name_compare,"compare","generic","Registry Services, LLC"
domain_name_computer,"computer","generic","Binky Moon, LLC"
domain_name_comsec,"comsec","generic","VeriSign, Inc."
domain_name_condos,"condos","generic","Binky Moon, LLC"
domain_name_construction,"construction","generic","Binky Moon, LLC"
domain_name_consulting,"consulting","generic","Dog Beach, LLC"
domain_name_contact,"contact","generic","Dog Beach, LLC"
domain_name_contractors,"contractors","generic","Binky Moon, LLC"
domain_name_cooking,"cooking","generic","Registry Services, LLC"
domain_name_cookingchannel,"cookingchannel","generic","Lifestyle Domain Holdings, Inc."
domain_name_cool,"cool","generic","Binky Moon, LLC"
domain_name_coop,"coop","sponsored","DotCooperation LLC"
domain_name_corsica,"corsica","generic","Collectivité de Corse"
domain_name_country,"country","generic","Internet Naming Co."
domain_name_coupon,"coupon","generic","Amazon Registry Services, Inc."
domain_name_coupons,"coupons","generic","Binky Moon, LLC"
domain_name_courses,"courses","generic","Registry Services, LLC"
domain_name_cpa,"cpa","generic","American Institute of Certified Public Accountants"
domain_name_cr,"cr","country-code","National Academy of Sciences Academia Nacional de Ciencias"
domain_name_credit,"credit","generic","Binky Moon, LLC"
domain_name_creditcard,"creditcard","generic","Binky Moon, LLC"
domain_name_creditunion,"creditunion","generic","DotCooperation, LLC"
domain_name_cricket,"cricket","generic","dot Cricket Limited"
domain_name_crown,"crown","generic","Crown Equipment Corporation"
domain_name_crs,"crs","generic","Federated Co-operatives Limited"
domain_name_cruise,"cruise","generic","Viking River Cruises (Bermuda) Ltd."
domain_name_cruises,"cruises","generic","Binky Moon, LLC"
domain_name_csc,"csc","generic","Not assigned"
domain_name_cu,"cu","country-code","CENIAInternet Industria y San Jose Capitolio Nacional"
domain_name_cuisinella,"cuisinella","generic","SCHMIDT GROUPE S.A.S."
domain_name_cv,"cv","country-code","Agência Reguladora Multissectorial da Economia (ARME)"
domain_name_cw,"cw","country-code","University of Curacao"
domain_name_cx,"cx","country-code","Christmas Island Domain Administration Limited"
domain_name_cy,"cy","country-code","University of Cyprus"
domain_name_cymru,"cymru","generic","Nominet UK"
domain_name_cyou,"cyou","generic","Shortdot SA"
domain_name_cz,"cz","country-code","CZ.NIC, z.s.p.o"
domain_name_dabur,"dabur","generic","Dabur India Limited"
domain_name_dad,"dad","generic","Charleston Road Registry Inc."
domain_name_dance,"dance","generic","Dog Beach, LLC"
domain_name_data,"data","generic","Dish DBS Corporation"
domain_name_date,"date","generic","dot Date Limited"
domain_name_dating,"dating","generic","Binky Moon, LLC"
domain_name_datsun,"datsun","generic","NISSAN MOTOR CO., LTD."
domain_name_day,"day","generic","Charleston Road Registry Inc."
domain_name_dclk,"dclk","generic","Charleston Road Registry Inc."
domain_name_dds,"dds","generic","Registry Services, LLC"
domain_name_de,"de","country-code","DENIC eG"
domain_name_deal,"deal","generic","Amazon Registry Services, Inc."
domain_name_dealer,"dealer","generic","Intercap Registry Inc."
domain_name_deals,"deals","generic","Binky Moon, LLC"
domain_name_degree,"degree","generic","Dog Beach, LLC"
domain_name_delivery,"delivery","generic","Binky Moon, LLC"
domain_name_dell,"dell","generic","Dell Inc."
domain_name_deloitte,"deloitte","generic","Deloitte Touche Tohmatsu"
domain_name_delta,"delta","generic","Delta Air Lines, Inc."
domain_name_democrat,"democrat","generic","Dog Beach, LLC"
domain_name_dental,"dental","generic","Binky Moon, LLC"
domain_name_dentist,"dentist","generic","Dog Beach, LLC"
domain_name_desi,"desi","generic","Desi Networks LLC"
domain_name_design,"design","generic","Registry Services, LLC"
domain_name_dev,"dev","generic","Charleston Road Registry Inc."
domain_name_dhl,"dhl","generic","Deutsche Post AG"
domain_name_diamonds,"diamonds","generic","Binky Moon, LLC"
domain_name_diet,"diet","generic","XYZ.COM LLC"
domain_name_digital,"digital","generic","Binky Moon, LLC"
domain_name_direct,"direct","generic","Binky Moon, LLC"
